Position,"Track Name",Artist,Streams,URL
55,Selfish,Future,1173916,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
56,"Fake Love",Drake,1164747,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
57,Location,Khalid,1135371,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
58,"One Dance",Drake,1114417,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
59,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",1102679,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
60,"Reggaetón Lento (Bailemos)",CNCO,1099264,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
61,"Don't Wanna Know","Maroon 5",1098817,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
62,"Don't Leave",Snakehips,1066047,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
63,T-Shirt,Migos,1053768,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
64,"Bibia Be Ye Ye","Ed Sheeran",1046224,https://open.spotify.com/track/6SznMYPQJHzr3IwsAHLId2
65,"Me Rehúso","Danny Ocean",1044870,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
66,Starving,"Hailee Steinfeld",1025904,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
67,"Love On The Brain",Rihanna,1003860,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
68,"Save Myself","Ed Sheeran",991255,https://open.spotify.com/track/6TIU9Ehmi6dMzZK73Ym4yj
69,"I Got You","Bebe Rexha",975960,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
70,"Otra Vez (feat. J Balvin)","Zion & Lennox",954047,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
71,"No Frauds","Nicki Minaj",937193,https://open.spotify.com/track/0WtVtCK5SEFvyyA5V8D9CI
72,"Hear Me Now",Alok,932761,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
73,"In the Name of Love","Martin Garrix",924538,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
74,"Bad Things - With Camila Cabello","Machine Gun Kelly",900323,https://open.spotify.com/track/6H2TKJ9KJfcq6MRmw2cF20
75,"Sunset Lover","Petit Biscuit",894158,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
76,"Body Like A Back Road","Sam Hunt",877870,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
77,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",875149,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
78,"Side To Side","Ariana Grande",859239,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
79,Swang,"Rae Sremmurd",854666,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
80,"La Rompe Corazones","Daddy Yankee",824161,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
81,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",823325,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
82,"Shed A Light","Robin Schulz",810264,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
83,"Black Beatles","Rae Sremmurd",793241,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
84,"Don't Let Me Down","The Chainsmokers",788487,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
85,Chanel,"Frank Ocean",785732,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
86,Touch,"Little Mix",782727,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
87,"My Way","Calvin Harris",779521,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
88,"Treat You Better","Shawn Mendes",771394,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t
89,History,"Olivia Holt",768029,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
90,"Tuesday (feat. Danelle Sandoval)","Burak Yeter",766581,https://open.spotify.com/track/7EVk9tRb6beJLTHrg6AkY9
91,Safari,"J Balvin",764570,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
92,Mercy,"Shawn Mendes",755917,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
93,Heathens,"Twenty One Pilots",741409,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
94,Rolex,"Ayo & Teo",738413,https://open.spotify.com/track/6KBOvrddbomdb9dkarvwCl
95,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",737606,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
96,Redbone,"Childish Gambino",735065,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
97,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",713985,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
98,"Vente Pa' Ca","Ricky Martin",711716,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
99,Human,"Rag'n'Bone Man",711158,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
100,"Oceans Away","A R I Z O N A",710698,https://open.spotify.com/track/4NJpJ17Dgm5r4OYExFbxLk
101,Photograph,"Ed Sheeran",710251,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
102,Down,"Marian Hill",707092,https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd
103,"Me Llamas (feat. Maluma) - Remix","Piso 21",704237,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
104,"Look at Me!",Xxxtentacion,697845,https://open.spotify.com/track/2oUuLLKS8WbF7ELJcwbqms
105,Caroline,Aminé,696738,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
106,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",694229,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
107,"Water Under the Bridge",Adele,689453,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
108,"Sigo Extrañándote","J Balvin",685864,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
109,"Broccoli (feat. Lil Yachty)",D.R.A.M.,684174,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
110,"Thinking Out Loud","Ed Sheeran",682063,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
111,"Party Monster","The Weeknd",678496,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
112,"Scars To Your Beautiful","Alessia Cara",677183,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
113,Moves,"Big Sean",665825,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
114,goosebumps,"Travis Scott",665578,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
115,"Sooner Or Later","Aaron Carter",664553,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7
116,Alone,"Alan Walker",662073,https://open.spotify.com/track/3ujORpm8Hf7QWEtfqSAZL8
117,"Hay Mi Dios","El Chacal",662043,https://open.spotify.com/track/6wWiQShJzwI6kYYGucAFnN
118,"Now and Later","Sage The Gemini",660656,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
119,"All We Know","The Chainsmokers",660147,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
120,"Be The One","Dua Lipa",656530,https://open.spotify.com/track/1ixphys4A3NEXp6MDScfih
121,Skin,"Rag'n'Bone Man",650852,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
122,Cake,"Flo Rida",647654,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
123,"The Other",Lauv,643616,https://open.spotify.com/track/3ZD3kjn80pQ9keYO8eqp9d
124,"No Lie","Sean Paul",640982,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
125,"Cheap Thrills",Sia,637643,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
126,"Stressed Out","Twenty One Pilots",634588,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
127,"Versace On The Floor","Bruno Mars",634431,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
128,"Perfect Strangers","Jonas Blue",623800,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
129,Liability,Lorde,623046,https://open.spotify.com/track/4JyLFq2mHC8JPFTXHwYPWD
130,Vacaciones,Wisin,612914,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
131,Ride,"Twenty One Pilots",609810,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
132,"All Night (feat. Knox Fortune)","Chance The Rapper",608212,https://open.spotify.com/track/60xaS8mYBKUW4VQQ666N0T
133,"This Is What You Came For","Calvin Harris",604020,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
134,"Love Yourself","Justin Bieber",602912,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
135,Faded,"Alan Walker",598971,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
136,"Work from Home","Fifth Harmony",597588,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
137,"I Would Like","Zara Larsson",595891,https://open.spotify.com/track/0HVj61S4pQJdQhgZP61G65
138,"Romantic - NOTD Remix",Stanaj,595072,https://open.spotify.com/track/1pvgpkMqtQyOGePdYOTt9U
139,"By Your Side","Jonas Blue",585555,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
140,Sorry,"Justin Bieber",577966,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
141,Love,"Lana Del Rey",573733,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
142,"It's Gotta Be You",Isaiah,572953,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
143,"Comin Out Strong",Future,565949,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
144,"Te Quiero Pa´Mi","Don Omar",561054,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
145,Thumbs,"Sabrina Carpenter",556681,https://open.spotify.com/track/6WC5fhc9XMaCrUNKNjm9xE
146,Panda,Desiigner,551716,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
